Goods and Services Tax  - IMS,,,,,,,,,,,,,,,,
Credit notes (Original),,,,,,,,,,,,,,,,
GSTIN of Supplier,Trade/Legal Name,Credit Note number,Credit Note Supply Type,Credit Note Date,Credit Note Value ,Status,Place of Supply,Taxable Value ,Integrated Tax ,Central Tax ,State/UT Tax ,Cess , Source,Source Return Period,Source Filing Status,
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,131,Regular,28-04-2025,1968,Accepted,Delhi,1757,0,105.42,105.42,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07APRPG2889P1ZV,PUSHPANJALI FASHIONS,145,Regular,14-04-2025,2354,Accepted,Delhi,2242,0,56.05,56.05,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07APRPG2889P1ZV,PUSHPANJALI FASHIONS,146,Regular,22-04-2025,3651,Accepted,Delhi,3477,0,86.93,86.93,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,50,Regular,12-04-2025,4711,Accepted,Delhi,4206,0,252.36,252.36,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,CD-12/04-2025,Regular,09-04-2025,5235,Accepted,Delhi,4840.02,0,197.49,197.49,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,CD-197/04-2025,Regular,23-04-2025,5125,Accepted,Delhi,4575.9,0,274.55,274.55,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,CN/193/25-26,Regular,21-04-2025,16447,Accepted,Delhi,14685,0,881.1,881.1,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISC25-26-00142,Regular,15-04-2025,16553,Accepted,Delhi,15765,0,394.13,394.13,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISC25-26-00310,Regular,30-04-2025,30345,Accepted,Delhi,28900,0,722.5,722.5,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISJC25-26-0058,Regular,16-04-2025,1215,Accepted,Delhi,1085,0,65.1,65.1,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,SRI-111/25-26,Regular,09-04-2025,33851,Accepted,Delhi,31375,0,1238.16,1238.16,0,GSTR-1/IFF,Apr-25,Filed,Accepted
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,SRI-312/25-26,Regular,22-04-2025,22583,Accepted,Delhi,20975,0,804.21,804.21,0,GSTR-1/IFF,Apr-25,Filed,Accepted
,,,,,144038,,,133882.92,,5078,5078,,,,,
