Invoice No.,GSTIN/UIN,Party Name,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Invoice Value
INV001,27AAAPA1111A1Z5,ABC Traders,2025-06-03,100000,9000,9000,0,0,118000
INV/0003/25,29BBBPB2222B1Z6,Bright Steel Corp,2025-06-04,50000,0,0,9000,0,59000
INV004,24CCCPC3333C1Z7,Coastal Fabrics Ltd,2025-06-05,75000,6750,6750,0,0,88500
INV005,27DDDPD4444D1Z8,XYZ Enterprises,2025-06-06,40000,3600,3600,0,0,47200
INV006,27EEEPE5555E1Z9,Delta Yarns Pvt Ltd,2025-06-07,100000,0,0,18000,0,118000
INV007,27FFFPF6666F1ZA,Everest Cotton Mills,2025-06-08,50000,4500,4500,0,0,59000
INV008,27GGGPG7777G1ZB,Falcon Dyes & Chemicals,2025-06-09,30000,2700,2700,0,0,35400
CN001,27JJJPJ0000J1ZE,Ideal Knitwear,2025-06-12,-20000,-1800,-1800,0,0,-23600
INV010,27KKKPK1212K1ZF,Janta Spinning Mills,2025-06-13,60000,5400,5400,0,0,70800
INV011,27LLLPL3434L1ZG,Kavya Textile Traders,2025-06-14,25000,2250,2250,0,0,29501
INV012,27MMMPM5656M1ZH,Lotus Garments,2025-06-16,45000,4050,4050,0,0,53100
INV013,27NNNPN7878N1ZI,Mahesh Processors,2025-06-18,33000,2970,2970,0,0,38940
INV999,27,Broken GSTIN Co,2025-06-19,15000,1350,1350,0,0,17700
