GSTIN of Supplier,Trade/Legal Name,Invoice Number,Invoice Date,Invoice Value,Taxable Value,Central Tax,Integrated Tax,State/UT Tax,Cess,Document Type
27AAAPA1111A1Z5,ABC Traders,INV001,2025-06-03,118000,100000,0,9000,9000,0,B2B
29BBBPB2222B1Z6,Bright Steel Corp,3,2025-06-04,59000,50000,9000,0,0,0,B2B
24CCCPC3333C1Z7,Coastal Fabrics Ltd,INV-004X,2025-06-05,88500,75000,0,6750,6750,0,B2B
27DDDPD4444D1Z9,XYZ Enterprise,INV005,2025-06-06,47200,40000,0,3600,3600,0,B2B
27EEEPE5555E1Z9,Delta Yarns Pvt Ltd,INV006,2025-06-07,118000,100000,9000,4500,4500,0,B2B
27FFFPF6666F1ZA,Everest Cotton Mills,INV007,2025-06-08,65000,55000,0,4950,4950,0,B2B
27HHHPH8888H1ZC,Ganga Poly Fibres,INV009,2025-06-10,42000,35000,0,3500,3500,0,B2B
27JJJPJ0000J1ZE,Ideal Knitwear,CN001,2025-06-12,-23600,-20000,0,-1800,-1800,0,Credit Note
27KKKPK1212K1ZF,Janta Spinning Mills,INV010,2025-06-13,70800,60000,0,5400,5400,0,B2B
27LLLPL3434L1ZG,Kavya Textile Traders,INV011,2025-06-14,29500,25000,0,2250,2250,0,B2B
27NNNPN7878N1ZI,Mahesh Processors,INV013A,2025-06-18,38940,33000,0,2970,2970,0,B2B
27NNNPN7878N1ZI,Mahesh Processors Pvt Ltd,INV013B,2025-06-18,38940,33000,0,2970,2970,0,B2B
