GSTIN of Supplier,Trade/Legal Name,Invoice Number,Invoice Date,Invoice Value,Taxable Value,Central Tax,Integrated Tax,State/UT Tax,Cess,Document Type
07AAACC2498P1Z5,central bank of india,26071C0000002683,2025-04-30,236.0,200.0,18.0,0.0,18.0,0.0,Invoice (Regular)
29ACNPR4149N2ZN,Care Cargo Forwarders,INV-2526-1380,2025-04-30,252.0,240.0,0.0,12.0,0.0,0.0,Invoice (Regular)
24CRTPG5070Q1Z2,RUDRAY CREATIONS,RC/132,2025-04-22,34256.25,32625.0,0.0,1631.25,0.0,0.0,Invoice (Regular)
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,RL/16/25-26,2025-04-01,27362.0,24430.0,1465.8,0.0,1465.8,0.0,Invoice (Regular)
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,RL/228/25-26,2025-04-04,16111.0,14385.0,863.1,0.0,863.1,0.0,Invoice (Regular)
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,RL/628/25-26,2025-04-14,30206.0,26970.0,1618.2,0.0,1618.2,0.0,Invoice (Regular)
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,RL/686/25-26,2025-04-15,72240.0,64500.0,3870.0,0.0,3870.0,0.0,Invoice (Regular)
07AAAPP0926E1Z3,VICKY SAREE CENTRE,869,2025-04-07,30666.0,27660.0,1502.98,0.0,1502.98,0.0,Invoice (Regular)
07AAFCP9264R1ZH,PATEL FLEET LOGISTICS PRIVATE LIMITED,D24BGH/LB6337,2025-03-01,190.0,190.0,4.75,0.0,4.75,0.0,Invoice (Regular)
29ACAPC5491P1Z5,HI-SELECTION,25-26/059,2025-04-22,15934.0,15175.0,0.0,758.75,0.0,0.0,Invoice (Regular)
19AADCS6517N1ZT,SARVOTTAM SAREES (P) LTD.,G/61/25-26,2025-04-01,10991.0,10467.15,0.0,523.37,0.0,0.0,Invoice (Regular)
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSIT-00023/25-26,2025-04-01,16789.0,14990.0,899.4,0.0,899.4,0.0,Invoice (Regular)
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSIT-00031/25-26,2025-04-01,5807.0,5185.0,311.1,0.0,311.1,0.0,Invoice (Regular)
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSIT-00248/25-26,2025-04-08,83834.0,77165.0,3334.55,0.0,3334.55,0.0,Invoice (Regular)
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSIT-00256/25-26,2025-04-08,26954.0,25670.0,641.75,0.0,641.75,0.0,Invoice (Regular)
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSIT-00337/25-26,2025-04-10,5807.0,5185.0,311.1,0.0,311.1,0.0,Invoice (Regular)
27AAACI1195H3ZK,ICICI BANK LIMITED,50819501300425,2025-04-30,1.18,1.0,0.0,0.18,0.0,0.0,Invoice (Regular)
07APRPG2889P1ZV,PUSHPANJALI FASHIONS,006,2025-04-05,32266.0,30730.0,768.25,0.0,768.25,0.0,Invoice (Regular)
07APRPG2889P1ZV,PUSHPANJALI FASHIONS,020,2025-04-28,10967.0,10445.0,261.13,0.0,261.13,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T1137/25-26,2025-04-07,23111.0,20635.0,1238.1,0.0,1238.1,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T1307/25-26,2025-04-08,24276.0,21675.0,1300.5,0.0,1300.5,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T1504/25-26,2025-04-09,26775.0,25500.0,637.51,0.0,637.51,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T1577/25-26,2025-04-09,17842.0,15930.0,955.8,0.0,955.8,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T1784/25-26,2025-04-10,16173.0,14440.0,866.4,0.0,866.4,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T202/25-26,2025-04-02,24259.0,21660.0,1299.6,0.0,1299.6,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T2250/25-26,2025-04-14,17730.0,15830.0,949.8,0.0,949.8,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T2479/25-26,2025-04-15,8887.0,7935.0,476.1,0.0,476.1,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T2736/25-26,2025-04-16,18950.0,16920.0,1015.2,0.0,1015.2,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T2867/25-26,2025-04-17,27754.0,24780.0,1486.8,0.0,1486.8,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T3572/25-26,2025-04-22,7022.0,6270.0,376.2,0.0,376.2,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T36/25-26,2025-04-02,8865.0,7915.0,474.9,0.0,474.9,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T410/25-26,2025-04-04,20194.0,18030.0,1081.8,0.0,1081.8,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T454/25-26,2025-04-04,29279.0,27885.0,697.14,0.0,697.14,0.0,Invoice (Regular)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,T461/25-26,2025-04-04,20535.0,18335.0,1100.1,0.0,1100.1,0.0,Invoice (Regular)
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,131,2025-04-28,1968.0,1757.0,105.42,0.0,105.42,0.0,Credit Note
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,50,2025-04-12,4711.0,4206.0,252.36,0.0,252.36,0.0,Credit Note
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,CN/193/25-26,2025-04-21,16447.0,14685.0,881.1,0.0,881.1,0.0,Credit Note
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISC25-26-00142,2025-04-15,16553.0,15765.0,394.13,0.0,394.13,0.0,Credit Note
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISC25-26-00310,2025-04-30,30345.0,28900.0,722.5,0.0,722.5,0.0,Credit Note
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISJC25-26-0058,2025-04-16,1215.0,1085.0,65.1,0.0,65.1,0.0,Credit Note
07APRPG2889P1ZV,PUSHPANJALI FASHIONS,145,2025-04-14,2354.0,2242.0,56.05,0.0,56.05,0.0,Credit Note
07APRPG2889P1ZV,PUSHPANJALI FASHIONS,146,2025-04-22,3651.0,3477.0,86.93,0.0,86.93,0.0,Credit Note
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,CD-12/04-2025,2025-04-09,5235.0,4840.02,197.49,0.0,197.49,0.0,Credit Note
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,CD-197/04-2025,2025-04-23,5125.0,4575.9,274.55,0.0,274.55,0.0,Credit Note
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,SRI-111/25-26,2025-04-09,33851.0,31375.0,1238.16,0.0,1238.16,0.0,Credit Note
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,SRI-312/25-26,2025-04-22,22583.0,20975.0,804.21,0.0,804.21,0.0,Credit Note
