GSTIN of Supplier,Trade/Legal Name,Invoice Number,Invoice Date,Invoice Value,Taxable Value,Central Tax,Integrated Tax,State/UT Tax,Cess,Document Type
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,131,2025-04-28,1968.0,1757.0,105.42,0.0,105.42,0.0,Credit Note (Accepted)
07APRPG2889P1ZV,PUSHPANJALI FASHIONS,145,2025-04-14,2354.0,2242.0,56.05,0.0,56.05,0.0,Credit Note (Accepted)
07APRPG2889P1ZV,PUSHPANJALI FASHIONS,146,2025-04-22,3651.0,3477.0,86.93,0.0,86.93,0.0,Credit Note (Accepted)
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,50,2025-04-12,4711.0,4206.0,252.36,0.0,252.36,0.0,Credit Note (Accepted)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,CD-12/04-2025,2025-04-09,5235.0,4840.02,197.49,0.0,197.49,0.0,Credit Note (Accepted)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,CD-197/04-2025,2025-04-23,5125.0,4575.9,274.55,0.0,274.55,0.0,Credit Note (Accepted)
07AACCR8869H1ZU,ROOPLAXMI SAREES PRIVATE LIMITED,CN/193/25-26,2025-04-21,16447.0,14685.0,881.1,0.0,881.1,0.0,Credit Note (Accepted)
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISC25-26-00142,2025-04-15,16553.0,15765.0,394.13,0.0,394.13,0.0,Credit Note (Accepted)
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISC25-26-00310,2025-04-30,30345.0,28900.0,722.5,0.0,722.5,0.0,Credit Note (Accepted)
07AAMFJ9163F1Z1,JAGDISH AND SONS INDIA LLP,JSISJC25-26-0058,2025-04-16,1215.0,1085.0,65.1,0.0,65.1,0.0,Credit Note (Accepted)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,SRI-111/25-26,2025-04-09,33851.0,31375.0,1238.16,0.0,1238.16,0.0,Credit Note (Accepted)
07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar And Co,SRI-312/25-26,2025-04-22,22583.0,20975.0,804.21,0.0,804.21,0.0,Credit Note (Accepted)
