Invoice No.,GSTIN/UIN,Party Name,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Invoice Value
16,07AACCR8869H1ZU,Roop Laxmi Sarees Private Limited,2025-04-01,,,,,,
23,07AAMFJ9163F1Z1,Jagdish & Sons India LLP,2025-04-01,,,,,,
31,07AAMFJ9163F1Z1,Jagdish & Sons India LLP,2025-04-01,,,,,,
61,19AADCS6517N1ZT,Sarvottam Sarees (P) Ltd,2025-04-01,,,,,,
T36,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-02,,,,,,
T202,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-02,,,,,,
6,07APRPG2889P1ZV,Pushpanjali Fashion,2025-04-04,,,,,,
228,07AACCR8869H1ZU,Roop Laxmi Sarees Private Limited,2025-04-04,,,,,,
T410,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-04,,,,,,
T454,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-04,,,,,,
T461,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-04,,,,,,
869,07AAAPP0926E1Z3,Vicky Saree Center,2025-04-07,,,,,,
T1137,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-07,,,,,,
248,07AAMFJ9163F1Z1,Jagdish & Sons India LLP,2025-04-08,,,,,,
256,07AAMFJ9163F1Z1,Jagdish & Sons India LLP,2025-04-08,,,,,,
T1307,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-08,,,,,,
T1504,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-09,,,,,,
T1577,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-09,,,,,,
337,07AAMFJ9163F1Z1,Jagdish & Sons India LLP,2025-04-10,,,,,,
T1784,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-10,,,,,,
628,07AACCR8869H1ZU,Roop Laxmi Sarees Private Limited,2025-04-14,,,,,,
T2250,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-14,,,,,,
686,07AACCR8869H1ZU,Roop Laxmi Sarees Private Limited,2025-04-15,,,,,,
T2479,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-15,,,,,,
T2736,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-16,,,,,,
T2867,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-17,,,,,,
59,29ACAPC5491P1Z5,Hi-Selection,2025-04-22,,,,,,
132,24CRTPG5070Q1Z2,RUDRAY CREATIONS,2025-04-22,,,,,,
T3572,07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,2025-04-22,,,,,,
20,07APRPG2889P1ZV,Pushpanjali Fashion,2025-04-28,,,,,,
