gstin,invoice_no,date,taxable_value,tax_amount
29AAFCB5236K1ZL,INV-09101,2024-09-03,110000,19800
29AAFCB5236K1ZL,INV-09102,2024-09-10,32500,5850
07AAACH7409R1ZK,DL/240905,2024-09-05,48000,8640
07AAACH7409R1ZK,DL/240913,2024-09-14,60500,10890
27AABCT1332L1ZV,MH-8841,2024-09-20,95000,17100
24AAACJ7417J1ZY,GJ/90821,2024-09-11,42000,7560
06AABCS5309Q1ZW,HY-PUR-77,2024-09-15,51000,9180
29BGTFS2754Q1ZL,KA/ITF-911,2024-09-21,30000,5400
27AABCT1332L1ZV,MH-8850,2024-09-25,24000,4320
24AAACJ7417J1ZY,GJ/90908,2024-09-28,72000,12960
