gstin,invoice_no,date,taxable_value,tax_amount
29AAFCB5236K1ZL,SB/240901,2024-09-02,150000,27000
29AAFCB5236K1ZL,SB/240905,2024-09-06,88250,15885
29AAFCB5236K1ZL,CN/7888,2024-09-09,64000,11520
24AAACJ7417J1ZY,GJ/7721,2024-09-08,38500,6930
06AABCS5309Q1ZW,HR-552,2024-09-11,20600,3708
29BGTFS2754Q1ZL,KA/INV-301,2024-09-24,41000,7380
29BGTFS2754Q1ZL,KA/INV-305,2024-09-18,22000,3960
29AAFCB5236K1ZL,SB/240930,2024-09-30,95000,17100
27AABCT1332L1ZV,CN/7794,2024-09-21,88000,15840
29AAFCB5236K1ZL,MR/00099,2024-09-27,54000,9720
29BGTFS2754Q1ZL,KA/INV-310,2024-09-25,18000,3240
27AABCT1332L1ZV,CN/7785,2024-09-03,12500,2250
