gstin,invoice_no,date,taxable_value,tax_amount
29AAFCB5236K1ZL,INV-24001,2024-08-02,120000,21600
29AAFCB5236K1ZL,INV-24002 ,2024-08-07,45000,8100
07AAACH7409R1ZK,BL/2024/0811,2024-08-04,64000,11520
27AABCT1332L1ZV,CN-8841,2024-08-06,95000,17100
24AAACJ7417J1ZY,DT-0821,2024-08-13,42000,7560
06AABCS5309Q1ZW,EP-INV-9033,2024-08-15,50000,9000
29BGTFS2754Q1ZL,ITF-2024-08-112,2024-08-19,31000,5580
27AABCT1332L1ZV,CN-8850,2024-08-21,24000,4320
24AAACJ7417J1ZY,DT/0830,2024-08-26,15000,2700
29BGTFS2754Q1ZL,ITF-2024-08-115,2024-08-23,12000,2160
